"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
406212,"02310","W0626","Koski (2310)",30-8-2007 4:34:15,30-8-2007 5:34:15,14.69,61.42,595.65,6812487.39,1440531.54,563.27,5.60,"3D",5,"Yes",3.54,3.68,18.00,2,"F"
406213,"02310","W0626","Koski (2310)",30-8-2007 4:35:18,30-8-2007 5:35:18,14.69,61.42,590.29,6812493.07,1440530.51,557.91,2.40,"3D",5,"Yes",3.52,3.66,18.00,2,"F"
406214,"02310","W0626","Koski (2310)",30-8-2007 4:36:11,30-8-2007 5:36:11,14.69,61.42,592.63,6812491.00,1440522.43,560.25,2.60,"3D",6,"Yes",3.54,3.68,18.00,2,"F"
406215,"02310","W0626","Koski (2310)",30-8-2007 4:37:16,30-8-2007 5:37:16,14.69,61.42,593.19,6812490.02,1440519.01,560.81,2.20,"3D",6,"Yes",3.52,3.66,18.00,2,"F"
406216,"02310","W0626","Koski (2310)",30-8-2007 4:38:06,30-8-2007 5:38:06,14.69,61.42,598.68,6812486.37,1440510.15,566.30,2.80,"3D",5,"Yes",3.52,3.66,18.00,2,"F"
406217,"02310","W0626","Koski (2310)",30-8-2007 4:39:09,30-8-2007 5:39:09,14.69,61.42,600.51,6812483.10,1440504.95,568.13,2.60,"3D",6,"Yes",3.54,3.68,18.00,2,"F"
406218,"02310","W0626","Koski (2310)",30-8-2007 4:44:54,30-8-2007 5:44:54,14.69,61.42,604.40,6812478.03,1440505.28,572.02,6.00,"3D",5,"Yes",3.52,3.68,19.00,2,"F"
406219,"02310","W0626","Koski (2310)",30-8-2007 4:46:14,30-8-2007 5:46:14,14.69,61.42,598.22,6812479.12,1440494.90,565.84,2.20,"3D",7,"Yes",3.54,3.68,19.00,2,"F"
406220,"02310","W0626","Koski (2310)",30-8-2007 4:47:11,30-8-2007 5:47:11,14.69,61.42,603.66,6812452.59,1440483.48,571.28,2.80,"3D",6,"Yes",3.54,3.68,19.00,2,"F"
406221,"02310","W0626","Koski (2310)",30-8-2007 4:48:16,30-8-2007 5:48:16,14.68,61.42,605.32,6812433.27,1440457.72,572.94,6.00,"3D",5,"Yes",3.54,3.66,19.00,2,"F"
406222,"02310","W0626","Koski (2310)",30-8-2007 4:49:08,30-8-2007 5:49:08,14.68,61.42,608.71,6812448.47,1440426.81,576.33,2.20,"3D",6,"Yes",3.52,3.66,19.00,2,"F"
406223,"02310","W0626","Koski (2310)",30-8-2007 4:50:18,30-8-2007 5:50:18,14.68,61.42,607.51,6812463.50,1440410.97,575.13,2.20,"3D",6,"Yes",3.54,3.66,18.00,2,"F"
